"","name","class_primary","total_mins_played","season","kills_per_minute","kills_per_death","ka_d","damage_per_minute","heals_per_minute","damage_per_heal","caps_per_minute","deaths_per_minute","dt_per_minute","dt_per_heal","damage_per_dt"
"1","campbell","demoman",119.383333333333,20,0.594722881474243,1.07575757575758,1.5,295.803434315231,307.820646488063,3.25744857485472,0.142398436409326,0.552840988412676,290.936758341477,3.20385573286597,1.01672760775055
"2","deft","demoman",415.133333333333,20,0.804560783683957,1.85555555555556,2.52222222222222,301.748835715433,293.354063546322,3.95260633598384,0.279428296129758,0.433595631925486,209.954231572186,2.75018932222643,1.43721245080829
"3","durc","demoman",339.933333333333,20,0.600117670131398,1.14606741573034,1.64044943820225,309.325357913316,308.998009419322,3.36275544468963,0.123553637968229,0.523632084722495,282.017062169053,3.06587994499344,1.09683206942952
"4","enrith","demoman",279.85,20,0.775415401107736,1.77868852459016,2.52459016393443,337.541540110774,308.861530883188,3.6749533146592,0.278720743255315,0.435947829194211,279.431838484903,3.04228913787737,1.20795662348623
"5","redcoat","demoman",419.933333333333,20,0.771551039847595,1.64467005076142,2.35532994923858,292.605969201461,299.184893026114,3.56087170718985,0.176218447372599,0.469122082870297,236.466105731068,2.87767699307387,1.23741188318228
"6","signedunknown","demoman",169.183333333333,20,0.626539257216038,0.861788617886179,1.09756097560976,279.797064328638,297.32756582982,3.48373564910215,0.141857945030046,0.727021968278987,273.265688109546,3.40241389461289,1.0239011939782
"7","TheWiggin","demoman",337.85,20,0.50614177889596,0.766816143497758,1.12107623318386,245.540920526861,280.937144658502,3.84108904014446,0.177593606630161,0.660056237975433,240.654136451088,3.76464323748669,1.02030625422791
"8","Yop.","demoman",198.216666666667,20,0.534768351130917,0.87603305785124,1.17355371900826,244.52030606239,274.131639834091,4.28086910439852,0.126124611115782,0.610443117800387,250.579332380392,4.38694576929871,0.975819927922849
"9","deft","demoman",324.1,19,0.842332613390929,2.02222222222222,2.6962962962963,306.960814563406,310.338459861262,3.28911958210732,0.188213514347424,0.416538105522987,244.637457574823,2.62131781664297,1.25475803095085
"10","durc","demoman",391.3,19,0.59545106056734,1.28021978021978,1.74725274725275,291.009455660618,305.085415652972,3.30418129588254,0.117556861742908,0.465116279069767,250.373115256836,2.84278791747671,1.16230313051821
"11","enrith","demoman",510.833333333333,19,0.628384991843393,1.62121212121212,2.28787878787879,318.111582381729,324.427007844308,2.96152794736746,0.156606851549755,0.387601957585644,262.324306688418,2.44216434910973,1.21266529357333
"12","Moop","demoman",462.25,19,0.579772850189291,1.14529914529915,1.66239316239316,316.367766360195,322.293018218065,3.00499321908519,0.170903190914008,0.506219578150352,308.806922660898,2.9331771668105,1.0244840485898
"13","Paulsen","demoman",361.066666666667,19,0.695162481536189,1.84558823529412,2.75735294117647,329.93076070901,354.571410146953,2.39846581299831,0.290805022156573,0.376661742983752,277.56923929099,2.01781831360232,1.18864309875176
"14","redcoat","demoman",252.65,19,0.696615871759351,1.20547945205479,1.50684931506849,338.052641994855,308.003816155814,3.71521162295011,0.0752028497922027,0.577874529982189,291.711854343954,3.20592457262169,1.15885808876406
"15","Sean","demoman",205.066666666667,19,0.61443433029909,0.893617021276596,1.15602836879433,262.534135240572,307.938853910363,2.8873216775716,0.136540962288687,0.687581274382315,307.929128738622,3.38657084629411,0.852579735850252
"16","blank","demoman",303.6,18,0.632411067193676,1.24675324675325,1.62337662337662,278.610013175231,287.381232407838,3.95927728889721,0.138339920948617,0.507246376811594,251.943346508564,3.58032203707171,1.10584390116355
"17","deft","demoman",733.633333333333,18,0.744240992321323,1.65454545454545,2.24848484848485,298.451542550775,304.442922526104,3.41358236412959,0.158117133899768,0.44981598437003,237.630969148985,2.71793832434286,1.25594548395608
"18","durc","demoman",696.8,18,0.717566016073479,1.29533678756477,1.84974093264249,334.45177956372,307.727021703984,3.68685334598956,0.186567164179104,0.553960964408726,266.486796785304,2.93763644992881,1.25504071345483
"19","enrith","demoman",648,18,0.861111111111111,1.92413793103448,2.88275862068966,366.191358024691,300.969116075432,4.36166458348651,0.228395061728395,0.447530864197531,253.04012345679,3.01393279905889,1.44716716472525
"20","modus","demoman",305.433333333333,18,0.654807377496453,1.35135135135135,1.94594594594595,306.587362217614,302.176573469164,3.59995386744579,0.163701844374113,0.484557459347375,255.892175051839,3.00469014301092,1.19811151769493
"21","Moop","demoman",820.433333333333,18,0.633811400479421,1.16591928251121,1.74439461883408,316.652175679519,317.417802732538,3.1537340973099,0.175517003209686,0.543615162718888,288.106285296388,2.86942798873458,1.09908110943767
"22","Paulsen","demoman",455.133333333333,18,0.777794053024755,1.25531914893617,1.74468085106383,335.492895854695,318.652870847244,3.30077821011673,0.175772667350227,0.61959865240955,302.140032224989,2.97263294422828,1.11038876041712
"23","redcoat","demoman",685.933333333333,18,0.638546020021382,1.23033707865169,1.76966292134831,265.331907862766,290.147713258808,3.62795518877327,0.189522791330547,0.519000874720575,219.968898823987,3.00769445441135,1.20622464939954
"24","TheWiggin","demoman",568.533333333333,18,0.365853658536585,0.502415458937198,0.816425120772947,221.010787992495,272.55524340038,3.97909937298119,0.102016885553471,0.728189493433396,253.979831144465,4.57267718031541,0.870190309980886
"25","bulk","demoman",146.4,17,0.573770491803279,0.848484848484849,1.17171717171717,305.655737704918,279.314238520281,4.90604100427585,0.129781420765027,0.676229508196721,305.30737704918,4.9004495121149,1.00114101617558
"26","durc","demoman",212.433333333333,17,0.65903028401067,1.04477611940298,1.49253731343284,346.649929389612,294.052966152822,4.49957228400342,0.178879648517182,0.630786128981641,300.866154087557,3.90529145790053,1.15217323278155
"27","enrith","demoman",365.366666666667,17,0.714350880394125,2.088,3.128,324.186661800931,296.710346205602,4.06768776400288,0.246327889791077,0.342122069154274,225.236748471855,2.82612727085408,1.4393151384062
"28","Moop","demoman",323.816666666667,17,0.614545267383808,1.05851063829787,1.47872340425532,315.900972772659,310.281150904366,3.38699423879213,0.176025528848628,0.580575428483195,302.67435277163,3.24518243824912,1.04369917662303
"29","Sean","demoman",204.633333333333,17,0.400716729108975,0.491017964071856,0.778443113772455,241.778791334094,292.312863498807,3.21085080147965,0.161264049519466,0.816093826356084,312.436878970516,4.14919852034525,0.773848439821694
"30","yewl","demoman",396.85,17,0.768552349754315,1.73295454545455,2.375,319.957162655915,301.132270515412,3.80358266183387,0.168829532568981,0.443492503464785,253.299735416404,3.01117335170596,1.26315632398878
"31","campbell","demoman",215.7,21,0.737134909596662,1.41964285714286,1.97321428571429,319.554937413074,349.845037399601,1.45423857546732,0.101993509503941,0.519239684747334,294.107556791841,1.33843200135027,1.08652406248522
"32","deft","demoman",408.5,21,0.702570379436965,1.36018957345972,1.90995260663507,333.143206854345,245.828035454948,2.87878916083176,0.23500611995104,0.516523867809058,291.177478580171,2.51615086836037,1.14412422443798
"33","Doge.exe has stopped working","demoman",365.916666666667,21,0.721475745843771,1.36082474226804,2.02061855670103,332.734229104987,328.578808915853,1.67646127366609,0.163971760419039,0.530175358688226,295.515372352539,1.48893631669535,1.12594558603215
"34","enrith","demoman",363.933333333333,21,0.832570067777981,1.92993630573248,2.77070063694268,356.66147646089,351.18360943102,1.61327649208283,0.233559259937718,0.431397691884961,269.634548452097,1.21963011757687,1.32275881747496
"35","Moop","demoman",328.2,21,0.658135283363803,1.11340206185567,1.64432989690722,321.102985984156,290.424584115832,2.00288880019765,0.12187690432663,0.591102985984156,293.808653260207,1.83263964118061,1.09289832828639
"36","redcoat","demoman",607.083333333333,21,0.619354838709677,1.38235294117647,2.02205882352941,301.438023335621,306.663614002441,1.7072938630045,0.135072065888813,0.448043925875086,262.062868908717,1.48427966338888,1.15025079512741
"37","TheWiggin","demoman",260.433333333333,21,0.453091002175861,0.584158415841584,0.806930693069307,240.138231153206,245.804132475559,2.07553431567768,0.119032381927557,0.775630359656982,262.332010751312,2.26735696269746,0.9153981264637
"38","adolo","demoman",542.733333333333,28,0.700159685542317,1.49019607843137,2.0156862745098,314.078737255865,317.240510993735,0.990033512025416,0.163984768455964,0.46984399950866,245.306473406215,0.773250782624857,1.28035242158394
"39","Bitler","demoman",586.75,28,0.613549211759693,1.31386861313869,1.87956204379562,293.423093310609,270.075841499787,1.08644702051531,0.170430336599915,0.466979122283767,227.02002556455,0.840578795585201,1.29249872376205
"40","Bonk","demoman",343.266666666667,28,0.763255000971062,1.42391304347826,1.94021739130435,343.948339483395,350.118469605749,0.982377021899754,0.160225286463391,0.536026412895708,284.726160419499,0.813228050322838,1.20799697146424
"41","Bread","demoman",179.466666666667,28,0.635215453194651,1.80952380952381,2.47619047619048,283.506686478455,352.522288261516,0.804223437549395,0.195022288261516,0.351040118870728,264.104754829123,0.749185976669933,1.0734630153171
"42","catfish","demoman",293.15,28,0.709534368070953,1.23076923076923,1.56804733727811,294.828586048098,324.134402183183,0.909587455272574,0.0955142418557053,0.57649667405765,298.314855875831,0.920343085666176,0.9883134555351
"43","Dajono","demoman",248.783333333333,28,0.63911033697327,1.16911764705882,1.50735294117647,285.300462249615,301.443022710525,0.946449049257274,0.152743350974744,0.546660414014872,281.321096000536,0.933247993172787,1.01414528204835
"44","Daz","demoman",328.933333333333,28,0.611066072152412,1.046875,1.59895833333333,296.585934333198,292.442237535468,1.01416928290746,0.179367653019862,0.583704904742602,266.1876773409,0.910223090837266,1.11419858836428
"45","deft","demoman",312.75,28,0.70343725019984,1.45695364238411,2.00662251655629,288.799360511591,283.968025579536,1.01701365821801,0.163069544364508,0.482813749000799,226.737010391687,0.798459650268548,1.27371953971119
"46","Eddie","demoman",404.4,28,0.56379821958457,1.29545454545455,1.78409090909091,238.724035608309,278.353115727003,0.857630190288364,0.175568743818002,0.435212660731949,215.291790306627,0.773448465788959,1.10883947440963
"47","enrith","demoman",469.7,28,0.596125186289121,1.80645161290323,2.58064516129032,301.51373216947,326.027251437088,0.924811440885493,0.136257185437513,0.329997870981478,241.63508622525,0.741149965716525,1.24780609008247
"48","frydog","demoman",270.6,28,0.694752402069475,1.13939393939394,1.55757575757576,305.912786400591,278.407243163341,1.09879607629717,0.151515151515152,0.609756097560976,258.654841093866,0.929052125781489,1.18270659503943
"49","garbo","demoman",194.7,28,0.559835644581407,0.915966386554622,1.4453781512605,262.783769902414,273.600410888546,0.960465552844002,0.215716486902928,0.611196712891628,270.539291217257,0.988811713910268,0.971333105516953
"50","huffy","demoman",366.433333333333,28,0.611298098790139,1.40880503144654,1.94339622641509,257.108159738015,258.794687528427,0.993483143697736,0.182843627763122,0.433912489766215,218.833803329391,0.845588467906064,1.17490148151843
"51","jane doe","demoman",439.85,28,0.672956689780607,1.32735426008969,1.85650224215247,320.404683414801,271.021939297488,1.18220939694151,0.134136637490053,0.506991019665795,240.472888484711,0.887282000520095,1.33239420640623
"52","K1ng","demoman",159.883333333333,28,0.831856562076514,1.25471698113208,1.61320754716981,342.762430939227,254.135306994684,1.34873990943099,0.168873136662149,0.662983425414365,280.62962576879,1.10425280567041,1.2214050102523
"53","kcaj","demoman",145.616666666667,28,0.672999885544237,1.48484848484848,1.92424242424242,282.934645759414,338.443401625272,0.835988068908143,0.185418335813208,0.453244820876731,265.374842623326,0.784104052107217,1.06616981083249
"54","Kodyn","demoman",181.566666666667,28,0.600330457132366,0.923728813559322,1.35593220338983,276.906554066459,292.333394529099,0.947228606955801,0.313934275748118,0.649899026987332,275.105562695062,0.941067862391198,1.00654654654655
"55","lerl","demoman",297.466666666667,28,0.648812191842223,1.14880952380952,1.67857142857143,319.729941730166,286.297624383684,1.11677469353248,0.171447781264007,0.564769161810847,280.87516808606,0.981060072331032,1.13833466984237
"56","luca$","demoman",440.05,28,0.665833428019543,1.70348837209302,2.37209302325581,321.961140779457,296.182252016816,1.08703725016304,0.149982956482218,0.39086467446881,244.463129189865,0.825380749606783,1.31701308842121
"57","lunar","demoman",319.65,28,0.603785390270609,1.23717948717949,1.69230769230769,293.999687157829,313.158141717504,0.938821789992108,0.1407789770061,0.488033786954482,276.902862505866,0.884226930799892,1.06174304049168
"58","memories","demoman",251.45,28,0.791409823026447,1.80909090909091,2.4,306.124478027441,311.620600517001,0.98236277550187,0.135215748657785,0.437462716245775,262.235036786638,0.841520221550085,1.16736680871715
"59","morphe","demoman",383.216666666667,28,0.613230113512808,1.175,1.76,298.786587222198,297.669725568651,1.00375201627043,0.135693471926238,0.521897968947071,258.125516461532,0.867154078126096,1.15752441416122
"60","ozy","demoman",269.216666666667,28,0.731752615613199,1.56349206349206,2.19047619047619,306.05460286015,273.530613508327,1.11890438490474,0.14486473100972,0.468024515569863,239.283105305516,0.87479460611904,1.27904810692498
"61","Paulsen","demoman",385.95,28,0.564840005182018,1.17837837837838,1.77837837837838,294.965669128125,322.785334887939,0.913813724624535,0.228008809431273,0.479336701645291,267.713434382692,0.82938536992591,1.10179629127792
"62","prankmonkey","demoman",277.083333333333,28,0.534135338345865,1.06474820143885,1.53237410071942,309.726315789474,301.086315789474,1.02869608994798,0.0793984962406015,0.501654135338346,275.657142857143,0.915541917387865,1.1235925634983
"63","redcoat","demoman",376.566666666667,28,0.690448791714614,1.65605095541401,2.26751592356688,311.302115605913,320.856864654333,0.970221148116268,0.132778613791272,0.416924847304594,240.475347437373,0.749478580414487,1.29452818728949
"64","Bitler","demoman",376.15,27,0.630067792104214,1.12857142857143,1.62380952380952,276.828392928353,284.710886614383,0.972314041869759,0.1515352917719,0.558287917054367,262.403296557225,0.921648271611855,1.0549729998075
"65","blank","demoman",225.733333333333,27,0.598050797401063,0.725806451612903,0.967741935483871,265.158003544005,238.697578263438,1.11085334620096,0.128470171293562,0.823981098641465,311.4161252215,1.30464719201217,0.851458810475554
"66","Bonk","demoman",342.216666666667,27,0.882481858471729,2.06849315068493,2.97945205479452,368.252082014318,346.870890761214,1.06164020049703,0.157794769395607,0.426630302439975,271.544343252326,0.782839812981762,1.35613976562248
"67","Daz","demoman",495.583333333333,27,0.770808811165293,1.528,2.088,335.753825458214,307.090633933076,1.09333788907214,0.181604170169834,0.504456028249538,262.843786783252,0.855915999185224,1.27738924159956
"68","deft","demoman",359.5,27,0.831710709318498,1.70857142857143,2.36,334.756606397775,294.681502086231,1.13599463837339,0.1557719054242,0.486787204450626,265.922114047288,0.902405180388529,1.25885208004268
"69","dogroll","demoman",463.666666666667,27,0.569374550682962,1.5,2.25,317.279654924515,317.631200575126,0.998893226956374,0.153127246585191,0.379583033788641,255.420560747664,0.804141911390256,1.24218525711391
"70","enrith","demoman",390.333333333333,27,0.722459436379163,1.90540540540541,2.70945945945946,339.988898377455,321.240819812126,1.05836144539879,0.171648163962425,0.379163108454313,254.195559350982,0.791292836008964,1.33750919664184
"71","Gooseman","demoman",165.35,27,0.568491079528273,0.706766917293233,0.947368421052632,307.09404293922,266.9609918355,1.15033301617507,0.127003326277593,0.804354399758089,319.135167825824,1.19543745185991,0.962269514298168
"72","maz","demoman",120.3,27,0.606816292601829,1.12307692307692,1.6,326.384039900249,327.015793848712,0.998068124046772,0.141313383208645,0.540315876974231,286.093100581879,0.874860193187595,1.14083156579597
"73","Paulsen","demoman",171.883333333333,27,0.488703578008339,0.711864406779661,1.04237288135593,310.995830505188,325.494036652768,0.955457844030958,0.162901192669446,0.686512169106952,324.074469116649,0.995638729511859,0.959643107193508
"74","prankmonkey","demoman",314.933333333333,27,0.790643522438611,1.57594936708861,2.13924050632911,368.122353937341,291.299745977985,1.26372356660126,0.155588484335309,0.501693480101609,276.423581710415,0.948931763679965,1.33173281258974
"75","quid","demoman",277.133333333333,27,0.580947798893433,0.785365853658537,1.08292682926829,270.443829684869,298.037045946596,0.907416824059276,0.101034399807554,0.73971614144816,322.920375270628,1.08349072594314,0.837493854199258
"76","redcoat","demoman",486.083333333333,27,0.777644436824961,1.67256637168142,2.35840707964602,329.494942568147,338.993313903652,0.971980652874456,0.141950968626779,0.464940853763072,282.605863192182,0.833662056451368,1.16591686685594
"77","sao","demoman",491.833333333333,27,0.817350050830227,1.64754098360656,2.26639344262295,354.227719417147,307.465943747882,1.15208765920303,0.144357844798373,0.496103015926805,281.274144357845,0.914813982092553,1.25936822321816
"78","Will","demoman",286.833333333333,27,0.585705984892504,1.29230769230769,1.80769230769231,246.097617664149,301.858221963974,0.815275515978887,0.149912841371296,0.453224869262057,230.423009877978,0.763348463324209,1.06802535820737
"79","Bonk","demoman",490.9,26,0.721124465267875,1.16447368421053,1.58552631578947,328.32145039723,309.443878590344,1.06100483193554,0.203707476064372,0.61927072723569,281.631696883276,0.910122049161982,1.16578302098327
"80","decap","demoman",652.433333333333,26,0.606958565370664,1.18562874251497,1.56287425149701,313.797578296633,320.348439176416,0.979550826292068,0.211515863689777,0.511929699075257,302.676135492771,0.944834119594653,1.03674370556422
"81","deft","demoman",746.4,26,0.786441586280815,1.75223880597015,2.36716417910448,318.337352625938,301.922561629153,1.05436755341572,0.155412647374062,0.44882100750268,245.940514469453,0.814581438175323,1.29436727134063
"82","dogroll","demoman",715.466666666667,26,0.601006336190831,1.29518072289157,1.92168674698795,341.29612374208,348.360044726053,0.979722355962125,0.145359672008945,0.464032799105479,301.053857622065,0.864203177660087,1.13367131860683
"83","drat","demoman",359.216666666667,26,0.648633600890827,1.7007299270073,2.40875912408759,301.166426947525,306.578202570408,0.982347813453436,0.16703011181738,0.381385421983019,234.966825963903,0.766417259915734,1.28174020188617
