"","nickname","season","gamescore","impact","survive","efficiency","objective","n","classes"
"1","tyrone",29,80.8694040335564,0.794451882816425,0.625883167143669,0.61197143417171,0.639292005365946,15,"scout"
"2","space41",29,76.928076914726,0.658595074818005,0.704289435222009,0.646483522925982,0.751254731505303,7,"scout"
"3","sunbear",28,72.2597401463633,0.513159538534464,0.636092650538346,0.756290320263382,0.570127693605678,16,"soldier"
"4","matttt",28,70.8574056161849,0.597997011670051,0.627548440759963,0.558725754999174,0.681086669053396,10,"scout"
"5","Smily",29,69.3486779918398,0.537019262483014,0.571187122979818,0.711556877871704,0.624754847571869,15,"soldier"
"6","zs",28,68.3441204870931,0.514198664160644,0.735082765588559,0.608892122145752,0.613956658976655,13,"scout"
"7","melons",28,68.1802678530259,0.590947339476095,0.609461650839164,0.449574481056767,0.59550085654427,2,"soldier"
"8","Bonk",29,66.8530372757461,0.642424383330026,0.667381591802509,0.625364826826241,0.521601032779931,17,"demoman"
"9","luca$",28,66.0357337582468,0.573592480903208,0.704004126333883,0.628248936899923,0.625533241338592,16,"demoman"
"10","knoxu",29,64.4112543834158,0.587952676336058,0.724285760783022,0.55504573304129,0.603212487819121,10,"demoman"
"11","Smily",28,63.7487369098764,0.537671056782305,0.420506514760862,0.652342505247736,0.560094447485726,12,"soldier"
"12","jane doe",28,63.5220878821641,0.566492245157929,0.599260660281108,0.706120126030119,0.539178851218447,15,"demoman"
"13","cezyse",28,62.1701848901993,0.573304375517768,0.569756431263563,0.397290790133884,0.652905419136427,4,"scout"
"14","DeDstar",29,61.3214109548701,0.493698070861305,0.661941439584913,0.523553599815797,0.554102298330708,15,"scout"
"15","boner activated",28,61.052573773675,0.6435090012233,0.437510694747008,0.439223578697293,0.40659201844883,8,"scout"
"16","Ahiru",29,61.0180498862591,0.475910388205858,0.610445890589584,0.575500302742892,0.46651501111819,18,"soldier"
"17","phosphor",28,60.8178875829007,0.551543141790348,0.583785608005499,0.408621289937907,0.619134496208441,19,"scout"
"18","iven",28,60.4351203620644,0.530320951082273,0.590785247384788,0.373785054299453,0.632759190291624,16,"soldier"
"19","kl",28,60.0979462441025,0.542944031243291,0.539349208628202,0.403986242770341,0.577497054044937,15,"soldier"
"20","Fez",28,59.4328143762888,0.579668049869066,0.557516569233593,0.340884367348322,0.536737269785718,12,"scout"
"21","Precious.",28,59.1575922010493,0.48127719482091,0.662128689378052,0.514316814940352,0.489607840124042,12,"scout"
"22","ace",29,59.0117715503905,0.477018606149484,0.647009470048942,0.427900007250487,0.524729531525116,8,"soldier"
"23","zs",29,58.592763141315,0.500455787161104,0.554524674806434,0.552333322420547,0.441172203191232,12,"scout"
"24","samson",29,57.8140361146723,0.437294954928141,0.669210085980404,0.491982862067214,0.50755340761023,17,"soldier"
"25","tiha_askr",28,56.1984796421441,0.460087082553556,0.58330705063225,0.511950015780608,0.556931114887251,12,"scout"
"26","bill",29,55.7176545368233,0.357723197152158,0.836659342060553,0.458205653362635,0.529715897955033,4,"scout"
"27","phosphor",29,55.5431450240372,0.508245078577597,0.512167154017229,0.468662796868117,0.49819399045091,18,"scout"
"28","adolo",28,55.5250166040909,0.481459922019466,0.701483512207962,0.53017559034449,0.553118546304141,20,"demoman"
"29","lerl",29,55.251836366993,0.52314510713057,0.519010302613093,0.529902073252253,0.571931631880348,15,"demoman"
"30","arandomdeaddude",29,55.2368813372552,0.617500295876807,0.664159154835761,0.56217865406673,0.682163792359374,5,"medic"
"31","T3",28,55.0918383838825,0.540658183789153,0.495774691354234,0.36678610143276,0.54429713939802,20,"scout"
"32","Raelen",29,55.0684751117467,0.456941350952131,0.575832545410996,0.515413909661436,0.281271615876138,6,"soldier"
"33","Bonk",28,54.6471002701162,0.527967098047779,0.582710557180924,0.464383388377507,0.499363822372759,19,"demoman"
"34","Michael",29,54.6112660385914,0.628626792048673,0.647814924795426,0.569995301671355,0.532255686081104,15,"medic"
"35","123beef",28,54.6112572981384,0.347244937893319,0.733910763058161,0.555475106261281,0.513850064690805,19,"soldier"
"36","blank",28,54.1958188379074,0.531991973426211,0.4678465134026,0.436016203368146,0.33545958700562,12,"soldier"
"37","seraph",28,54.1424422437065,0.433579799647274,0.547126813789019,0.643564291671254,0.498555997259744,5,"soldier"
"38","rem",28,53.9883889441569,0.678342326441964,0.606318482325448,0.631241111387427,0.419897230154384,5,"medic"
"39","Ravu4",28,53.6041581958182,0.611764916078874,0.564721770456587,0.703378970288179,0.638095794088021,2,"medic"
"40","kpc",29,53.1790624308017,0.345250668388191,0.7471449848155,0.429840363641104,0.519151428526565,18,"soldier"
"41","durc",29,52.9643957695143,0.495500370405033,0.535775735142684,0.354217351866392,0.446477886060859,10,"soldier"
"42","DBZWARRIORHD",28,52.6252435588212,0.433057053643009,0.656500335112832,0.386191287676805,0.554492306993445,21,"scout"
"43","weed liz",28,52.5499080646662,0.591869848345669,0.658953911356823,0.604166881004218,0.600446661319418,16,"medic"
"44","mix",29,52.4435228938536,0.403136081826783,0.690012354697298,0.396563810456785,0.35250042375819,8,"soldier"
"45","ayr",28,52.377873902786,0.436576843357836,0.563727065215886,0.440385241863962,0.499566684435275,19,"soldier"
"46","dev.",29,52.2918549383316,0.306460677261907,0.819662213725316,0.546181099558297,0.347253614698457,2,"scout"
"47","L0RD 80T1CUS 0F 80TSW4N4",29,52.2587050436635,0.567484337596588,0.649692639031106,0.591952429200177,0.371650464679111,6,"medic"
"48","ozy",29,51.4890685384114,0.43613452034276,0.537370567540018,0.537759250293166,0.415061068080503,10,"demoman"
"49","JD",29,51.3764648665437,0.542935130420246,0.581713413121001,0.558178670579289,0.540904237075705,15,"medic"
"50","Jager al-Maslul",29,51.1424710794328,0.495817644434826,0.61480153749505,0.566267898724068,0.652496814581076,8,"medic"
"51","rintincan -pt",29,51.0269013221231,0.438125803537792,0.466260691545599,0.503543181652873,0.299309097351982,10,"soldier"
"52","Poeyy",28,50.9195111625582,0.569873600757136,0.633893057517251,0.677850638634726,0.385716245407901,4,"medic"
"53","samson",28,50.9013758114465,0.468756612161911,0.655534366314934,0.690928581213978,0.819332520746535,2,"medic"
"54","Moop",28,50.5673676002694,0.474774914744786,0.516460681428392,0.415882374432341,0.340105657689099,12,"soldier"
"55","feggie",29,50.1058732907339,0.284616528093168,0.704538780895614,0.513504508320562,0.497697219515848,17,"soldier"
"56","luca$",29,49.7003122856572,0.459372721422582,0.544444143401769,0.511145529970582,0.38276617214701,4,"demoman"
"57","alibastor",28,49.6949820041528,0.552861944187977,0.590732207837635,0.582655755203962,0.576645040997622,10,"medic"
"58","emgee",28,49.4003075580132,0.588778895549112,0.51844656496849,0.538957634433786,0.587916121317539,15,"medic"
"59","lerl",28,49.0834106320498,0.501511509793514,0.431268496524239,0.540915652208755,0.521808066523947,12,"demoman"
"60","krollic",29,49.0549450101513,0.505256650790011,0.54347335067125,0.533946080565062,0.44111802704255,8,"medic"
"61","Bread",29,48.9717054558156,0.402134291443261,0.581226542869029,0.276206263664137,0.566182020623371,17,"scout"
"62","Yui",29,48.8549672322929,0.573444391168029,0.48637466823465,0.482398016824513,0.281885957503434,2,"medic"
"63","Tesla",28,48.7765689744947,0.418615929346136,0.581621849495907,0.317288423120888,0.576976218287899,20,"soldier"
"64","weaponfire",28,48.6835312632343,0.57873802231922,0.562109027296481,0.501881797358024,0.524945742682829,20,"medic"
"65","Jager al-Maslul",28,48.6365062116479,0.533486945970782,0.548843189754705,0.605597340830992,0.563740982999623,8,"medic"
"66","kcaj",29,48.3449568632351,0.297426397707869,0.692250763859935,0.452924441700364,0.491793948742775,4,"scout"
"67","JD",28,48.2861531452082,0.346540882889295,0.55488249807271,0.642443451412515,0.310179925679721,8,"soldier"
"68","DBZWARRIORHD",29,48.2354179115126,0.341454513197541,0.618521588024459,0.363413376001035,0.588643176730289,17,"scout"
"69","Shakey",29,48.2172223421606,0.243974249436869,0.664603717451314,0.604889706131276,0.448972639875667,8,"soldier"
"70","Navedh_k1ng",29,48.1941826694422,0.468610143855316,0.530057870514292,0.262022131358614,0.329002242480706,2,"scout"
"71","tal",29,48.1670309026856,0.457610071052413,0.562761938238731,0.552628153429603,0.445401673306573,12,"medic"
"72","Hawk",28,47.8158467276678,0.336416511717649,0.546862703617275,0.551622927985182,0.520283904833878,20,"soldier"
"73","cezyse",29,47.7912860981554,0.286665053603654,0.676887362202111,0.411224798589752,0.611755597273573,8,"scout"
"74","Astonnn",29,47.640632372669,0.449651390086064,0.560076314537255,0.555364438015134,0.391418994132802,2,"medic"
"75","lunar",29,47.2329542742487,0.463371708882512,0.47514935247081,0.361991751105842,0.442710130957306,10,"demoman"
"76","2345y",29,47.0749278204831,0.332693629717341,0.584957626156907,0.332395940099195,0.619515626834997,15,"soldier"
"77","Susu",29,46.9607359969122,0.409160611871134,0.568726803878769,0.333673876196293,0.298740216847675,3,"scout"
"78","iven",29,46.9134995713061,0.460916427912492,0.535395759672948,0.391300758919151,0.384512873909811,8,"demoman"
"79","ory",29,46.7222721297808,0.454210897202497,0.533448477360868,0.388211451334476,0.592757160910849,2,"medic"
"80","aino",28,46.4869767638906,0.347629613674974,0.648176817085426,0.377004081871715,0.599695819792603,15,"scout"
"81","beni",29,46.2015423204622,0.391865586323698,0.572680418151959,0.257094970199401,0.464687843328554,8,"scout"
"82","Ahiru",28,45.7413180426019,0.377431608113979,0.452811717685072,0.598648725397384,0.290017996652972,10,"soldier"
"83","Rias Gremory",29,45.2000951963412,0.291383124628036,0.662127651344496,0.410416697693769,0.394794814159602,6,"scout"
"84","Kir1to",29,45.1037968580925,0.408407161239836,0.461453414222458,0.300102840469753,0.396998291668253,2,"soldier"
"85","MY AUDIO GOT HACKED PART IIII",28,45.0719464406537,0.338769571930742,0.669351913638793,0.446805554971096,0.36592387406125,4,"scout"
"86","Bread",28,44.9585366810371,0.414705916760877,0.520678288902328,0.386244151456289,0.526416580919226,19,"scout"
"87","v4na",29,44.7501383912563,0.489172184576608,0.40009350229122,0.328704657010285,0.452725032307022,2,"medic"
"88","Moop",29,44.7051415079767,0.311591692753821,0.568483440989235,0.410395704248291,0.414971482747143,10,"soldier"
"89","camille",29,44.2514939725712,0.375630250382916,0.485938420796818,0.397453035195442,0.269676231524918,2,"scout"
"90","Suwawa",29,42.9914022789336,0.432048260794053,0.398576119105533,0.367517653272734,0.350779171215296,2,"medic"
"91","andre",29,42.7948473413939,0.379799568673157,0.558860016320336,0.222282675237336,0.327120341276754,10,"scout"
"92","Luggnuts",28,42.6958683041086,0.457034534672518,0.53420834088597,0.496273153197291,0.365109289258993,4,"medic"
"93","durc",28,42.3351323183288,0.351369495904744,0.526191916981096,0.452477296737642,0.355183197929569,8,"soldier"
"94","knoxu",28,42.1009256309833,0.363035776796548,0.658460248046239,0.52456714412356,0.304712670996913,2,"demoman"
"95","Rias Gremory",28,41.9158411760712,0.311892266122141,0.68484842143537,0.377446748771139,0.393649679151231,10,"scout"
"96","2345y",28,41.6012904240936,0.364362723116974,0.519626408902012,0.319221781065874,0.524459088933217,12,"soldier"
"97","morphe",28,41.4807851569829,0.35350510812835,0.643387502989663,0.51045173658111,0.367420090117444,4,"demoman"
"98","Lev",28,41.4427248353882,0.433003310504174,0.48280605607464,0.288406620710874,0.338121986694591,12,"scout"
"99","disturbed",28,40.9949988161006,0.433594513409501,0.290135525036592,0.492699120995113,0.281509269141188,6,"scout"
"100","lunar",28,40.9821544453023,0.460060848996984,0.47208073574841,0.400924371422427,0.3614759395164,12,"demoman"
"101","just jazz",28,40.9473431779333,0.486705413917031,0.407542305993087,0.436749468840295,0.345187752001089,10,"medic"
"102","Exquizit",28,40.5399735585163,0.453108617736287,0.456045843844356,0.36883123423794,0.495166698479341,2,"medic"
"103","Fez",29,40.505464826567,0.337363096554389,0.421766027716462,0.350014363789861,0.359670543150408,3,"scout"
"104","Lev",29,40.3015343108934,0.304094533854503,0.504344624292607,0.302833768843755,0.43754839861609,10,"scout"
"105","Charlie",28,40.0529738345895,0.314417251671547,0.639441933523389,0.336445949290727,0.427300006661787,6,"scout"
"106","Manceloot",29,39.9903441598707,0.251857870852611,0.565453568536121,0.405683308721874,0.343852597582729,2,"scout"
"107","<user>",29,39.8470441853257,0.342284987919193,0.599940162949376,0.325760947340324,0.349998986288503,10,"demoman"
"108","yellow.",29,39.0919675334062,0.378633863428434,0.342134994973404,0.240282857836195,0.29128270329978,2,"medic"
"109","LiAm",28,38.7371999713603,0.445956036801869,0.422808047894983,0.435411155445008,0.370619184976694,12,"medic"
"110","lepingu",28,38.2591160004865,0.422458131574167,0.416553431023631,0.290097631165249,0.303717549890448,4,"scout"
"111","Ghosty",29,37.9332818894672,0.326426675743996,0.43302834822645,0.462282872964499,0.319543074348285,2,"demoman"
"112","Sean",28,37.4565621305002,0.253371407398715,0.603541795688704,0.349240598240822,0.603271593224849,17,"soldier"
"113","Dajono",28,36.3689595335435,0.429903574427822,0.39454225789642,0.37347271460887,0.363685840232983,10,"demoman"
"114","kanye",28,34.6931152581425,0.206914002768841,0.667869304716689,0.446169006260446,0.333939798278386,4,"soldier"
"115","jacc",28,34.467700620539,0.321441264315055,0.439424735594516,0.442865842397503,0.259981605634758,6,"scout"
"116","Hawk",29,34.1805820189322,0.202717612972225,0.446062110235511,0.370952540160716,0.394428728882707,6,"scout"
"117","john the asian",28,31.4205056963659,0.356159416109309,0.389681444717446,0.261541710637687,0.310879075916767,2,"soldier"
"118","kenji",28,30.8127520622682,0.279412386441294,0.412914558630033,0.43180189761909,0.237005006616853,2,"scout"
"119","eeur",29,26.6284368459699,0.159189013968668,0.433268065515064,0.270506232343754,0.300740196284336,2,"soldier"
"120","Bitler",29,21.5697765903839,0.1,0.562614916502577,0.101959215016438,0.455067995064966,2,"demoman"
